Unnamed: 0,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
49,23-Aug-2016,8628.35,8642.15,8580.0,8632.6,193302503,7309.82
50,24-Aug-2016,8648.5,8661.05,8620.9,8650.3,154168043,7199.72
51,25-Aug-2016,8668.85,8683.05,8583.65,8592.2,219736214,10508.32
52,26-Aug-2016,8614.35,8622.95,8547.55,8572.55,152146666,7153.37
53,29-Aug-2016,8583.75,8622.0,8543.75,8607.45,133723771,6857.99
54,30-Aug-2016,8646.75,8750.6,8642.25,8744.35,154828719,8392.76
55,31-Aug-2016,8754.05,8819.2,8754.05,8786.2,373422334,22534.29
56,01-Sep-2016,8793.6,8813.25,8759.95,8774.65,246336047,9653.93
57,02-Sep-2016,8796.35,8824.1,8768.2,8809.65,197385217,8231.93
58,06-Sep-2016,8852.7,8950.85,8848.45,8943.0,201617132,9571.31
59,07-Sep-2016,8968.7,8968.7,8913.35,8917.95,299145644,11430.95
60,08-Sep-2016,8915.5,8960.35,8896.0,8952.5,223937056,10773.98
61,09-Sep-2016,8934.3,8939.15,8858.7,8866.7,181344327,9976.28
62,12-Sep-2016,8732.95,8746.95,8699.4,8715.6,190199613,9248.73
63,14-Sep-2016,8710.65,8739.85,8688.9,8726.6,189984289,9112.57
64,15-Sep-2016,8743.85,8751.95,8704.35,8742.55,149889703,7347.34
65,16-Sep-2016,8780.85,8847.65,8750.5,8779.85,274039556,14430.63
66,19-Sep-2016,8788.45,8824.3,8774.2,8808.4,135814177,7364.64
67,20-Sep-2016,8816.1,8816.45,8759.3,8775.9,140718486,7035.07
68,21-Sep-2016,8790.3,8826.85,8757.3,8777.15,153441330,7572.41
69,22-Sep-2016,8873.35,8893.35,8837.8,8867.45,178136644,9305.56
70,23-Sep-2016,8880.75,8885.2,8820.3,8831.55,191618169,9793.98
71,26-Sep-2016,8807.9,8809.55,8715.1,8723.05,169050086,8518.5
72,27-Sep-2016,8748.9,8768.5,8690.5,8706.4,156100521,7446.12
73,28-Sep-2016,8711.2,8767.05,8703.15,8745.15,170643694,8348.19
74,29-Sep-2016,8792.7,8800.65,8558.25,8591.25,384395249,19467.3
